Variable Group Description,Age Group Description,Geography,Values,YEAR,Definition,Dataset,Geography Level,FIPS,NAME,Role
White Male,25 to 29,"Pierce County, WA",20952.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Female,80 to 84,"Pierce County, WA",230.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,20 to 24,"Pierce County, WA",564.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Female,35 to 39,"Pierce County, WA",4650.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Multiracial Male,15 to 19,United States,455898.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Multiracial Male,70 to 74,United States,56240.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
All,30 to 34,"Pierce County, WA",54.52899849779585,1997,nan,Moodys,County,53053,Pierce County,Broad
Asian Female,35 to 39,United States,901851.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Male,60 to 64,Seattle MSA,2630.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,5 to 9,"Pierce County, WA",2373.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native American Female,0 to 4,Seattle MSA,701.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,20 to 24,,20986.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Female,80 to 84,Seattle MSA,137.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,35 to 39,,8174.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,5 to 9,"Pierce County, WA",27875.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,55 to 59,Washington,887.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Male,45 to 49,Seattle MSA,8751.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,40 to 44,"Pierce County, WA",18546.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Male,70 to 74,Seattle MSA,71712.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Male,55 to 59,Washington,237597.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Female,85+,Seattle MSA,66.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,30 to 34,Seattle MSA,1757.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Asian Female,45 to 49,,25387.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,30 to 34,United States,6339899.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,10 to 14,Seattle MSA,14548.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,10 to 14,Washington,9131.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Female,50 to 54,,88791.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,40 to 44,United States,1689354.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Male,30 to 34,Washington,8017.0,2012,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Female,25 to 29,Washington,165286.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Male,45 to 49,Washington,26740.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Black or African American Male,85+,Seattle MSA,566.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,70 to 74,United States,836831.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native American Male,35 to 39,Seattle MSA,1060.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,65 to 69,"Pierce County, WA",562.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
All,65+,Seattle MSA,171.9147469074776,1974,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
All,30 to 34,Washington,477.8639940066384,1994,nan,Moodys,State,53,Washington,Benchmark
All,5 to 9,"Pierce County, WA",53.03899972787455,2007,nan,Moodys,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,85+,,17.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,40 to 44,"Pierce County, WA",25.5026935071178,1981,nan,Moodys,County,53053,Pierce County,Broad
Black or African American Female,65 to 69,Washington,4894.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Male,60 to 64,Seattle MSA,13368.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,0 to 4,Seattle MSA,7000.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,10 to 14,"Pierce County, WA",5793.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Multiracial Female,20 to 24,"Pierce County, WA",1809.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Male,25 to 29,"Pierce County, WA",35738.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Black or African American Male,75 to 79,Seattle MSA,1050.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,15 to 19,Seattle MSA,8740.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,65 to 69,Washington,8788.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Female,45 to 49,Washington,6978.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Female,85+,Washington,2977.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Female,5 to 9,"Pierce County, WA",1797.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,10 to 14,"Pierce County, WA",15704.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Asian Female,15 to 19,Seattle MSA,17282.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
White Female,35 to 39,,86986.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,50 to 54,,131772.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,20 to 24,"Pierce County, WA",33486.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Hispanic Female,70 to 74,,1294.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,55 to 59,Washington,416.9950000000062,2006,nan,Moodys,State,53,Washington,Benchmark
All,30 to 34,"Pierce County, WA",47.65792220708182,1985,nan,Moodys,County,53053,Pierce County,Broad
All,15 to 19,Seattle MSA,211.4329984912453,2004,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Asian Male,5 to 9,,12793.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,20 to 24,"Pierce County, WA",1755.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,20 to 24,"Pierce County, WA",16592.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,30 to 34,United States,97662.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Black or African American Female,20 to 24,Washington,10344.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Female,55 to 59,Washington,248951.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Female,45 to 49,Seattle MSA,7494.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,20 to 24,United States,20316.08442972697,1977,nan,Moodys,National,00,United States,Benchmark
All,30 to 34,United States,21680.984345341338,1989,nan,Moodys,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,15 to 19,Seattle MSA,1388.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,70 to 74,"Pierce County, WA",428.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Female,85+,United States,12492.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Female,70 to 74,Seattle MSA,3689.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Male,85+,United States,6888.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,50 to 54,"Pierce County, WA",979.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Multiracial Male,70 to 74,United States,41197.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Male,20 to 24,Seattle MSA,8191.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Asian Male,85+,,2967.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,60 to 64,Washington,19432.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Male,30 to 34,"Pierce County, WA",3856.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Female,25 to 29,,8863.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,35 to 39,"Pierce County, WA",2005.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Female,85+,"Pierce County, WA",8793.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Female,10 to 14,"Pierce County, WA",26648.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,55 to 59,Seattle MSA,15152.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Female,65 to 69,Seattle MSA,592.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,5 to 9,Seattle MSA,13445.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,35 to 39,Seattle MSA,210.23250005953923,1987,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
White Female,75 to 79,United States,3916782.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Female,20 to 24,,8046.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,20 to 24,,219.5399391467968,1983,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,65 to 69,Washington,14045.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Black or African American Female,15 to 19,United States,1477593.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Male,20 to 24,Washington,16761.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
White Male,0 to 4,Washington,128719.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Male,0 to 4,United States,563715.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native American Male,50 to 54,United States,76402.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,65 to 69,Washington,6891.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,15 to 19,United States,18701.65284925053,1987,nan,Moodys,National,00,United States,Benchmark
All,0 to 4,Washington,386.3260242721984,1991,nan,Moodys,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,85+,Washington,103.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,65+,United States,34148.43312411486,1996,nan,Moodys,National,00,United States,Benchmark
Multiracial Female,40 to 44,Seattle MSA,4237.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Female,45 to 49,United States,11459930.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,15 to 19,"Pierce County, WA",3193.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,5 to 9,Seattle MSA,17144.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,35 to 39,"Pierce County, WA",840.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Asian Female,40 to 44,United States,750785.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,0 to 4,United States,19595.994956693063,2003,nan,Moodys,National,00,United States,Benchmark
Asian Male,45 to 49,Seattle MSA,16695.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Female,0 to 4,Seattle MSA,112252.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,20 to 24,United States,6223909.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Female,85+,Seattle MSA,30065.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
White Female,50 to 54,Seattle MSA,82957.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,70 to 74,,2133.0,2019,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,55 to 59,"Pierce County, WA",2201.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Male,50 to 54,United States,7856482.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,70 to 74,"Pierce County, WA",119.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,10 to 14,"Pierce County, WA",14878.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,15 to 19,Seattle MSA,1188.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,10 to 14,,13635.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,10 to 14,Seattle MSA,7354.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Asian Female,40 to 44,Washington,26335.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Male,75 to 79,"Pierce County, WA",64.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Female,75 to 79,United States,281798.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native American Female,45 to 49,Seattle MSA,1307.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Male,75 to 79,,198.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,0 to 4,United States,1291851.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Asian Male,35 to 39,Washington,20325.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Female,55 to 59,Seattle MSA,125723.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,60 to 64,United States,1307484.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Asian Female,10 to 14,,15195.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,65 to 69,United States,6625772.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,65 to 69,"Pierce County, WA",504.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,65+,,337.19700207524187,2001,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,10 to 14,,13761.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,5 to 9,,16135.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,45 to 49,,14407.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,15 to 19,Seattle MSA,7544.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
All,40 to 44,,105.45978102904978,1975,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,45 to 49,Washington,19914.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Male,50 to 54,"Pierce County, WA",1415.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,60 to 64,Washington,11157.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Female,55 to 59,Washington,236850.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Male,60 to 64,United States,9717646.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,35 to 39,Washington,9515.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Female,15 to 19,,1569.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,50 to 54,"Pierce County, WA",22.31150564145993,1976,nan,Moodys,County,53053,Pierce County,Broad
Male,15 to 19,"Pierce County, WA",27694.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Male,55 to 59,"Pierce County, WA",25385.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,20 to 24,,67468.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,85+,Washington,486.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native American Male,15 to 19,Washington,3427.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Male,5 to 9,Washington,132030.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,45 to 49,"Pierce County, WA",60.80399877108644,2008,nan,Moodys,County,53053,Pierce County,Broad
Native American Female,50 to 54,United States,77281.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Female,40 to 44,"Pierce County, WA",1865.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Male,30 to 34,"Pierce County, WA",22508.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Male,70 to 74,United States,5534712.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
